game,seed,opening_row,opening_col,opening_grid,opening_cell,starting_player,winner,failure_player,reason,plies,trace_hash,win_type,p0_dfs_failed,p1_dfs_failed,p0_dfs_failed_primary,p0_dfs_failed_narrow,p1_dfs_failed_primary,p1_dfs_failed_narrow
22,20261023,1,7,2,4,0,0,-1,played,53,d5cfb7c1649ed98e,3iar,0,0,0,0,0,0
23,20261024,1,1,0,4,0,0,-1,played,43,90bdd02b571b89df,3iar,0,0,0,0,0,0
24,20261025,7,1,6,4,0,1,-1,played,44,9fe58d2c42a3ae88,3iar,0,0,0,0,0,0
25,20261026,1,7,2,4,0,0,-1,played,55,73815067ce13164c,3iar,0,1,0,0,0,1
26,20261027,1,7,2,4,0,0,-1,played,51,08d50994f13af663,3iar,0,0,0,0,0,0
27,20261028,1,1,0,4,0,1,-1,played,48,032ba8d68eccba48,3iar,0,0,0,0,0,0
28,20261029,1,1,0,4,0,0,-1,played,49,e62d9bb00017e5af,3iar,0,0,0,0,0,0
29,20261030,1,1,0,4,0,0,-1,played,45,6f79e8db9c57307c,3iar,0,0,0,0,0,0
30,20261031,1,1,0,4,0,1,-1,played,46,ac4aecb2d69d0e7a,3iar,1,0,0,1,0,0
31,20261032,1,7,2,4,0,0,-1,played,41,c68ddad12ac3d802,3iar,0,0,0,0,0,0
32,20261033,7,1,6,4,0,0,-1,played,45,7dd44fc1f76386e7,3iar,0,0,0,0,0,0
33,20261034,1,1,0,4,0,0,-1,played,43,740cc37f73815344,3iar,0,0,0,0,0,0
34,20261035,7,1,6,4,0,0,-1,played,47,2b988cb39c4b6f54,3iar,0,0,0,0,0,0
35,20261036,1,7,2,4,0,0,-1,played,41,4fc705449866b9f2,3iar,0,0,0,0,0,0
36,20261037,1,7,2,4,0,1,-1,played,48,a46175402a3d1c6c,3iar,0,0,0,0,0,0
37,20261038,7,1,6,4,0,0,-1,played,47,a74a66beffeb9083,3iar,0,0,0,0,0,0
38,20261039,7,7,8,4,0,0,-1,played,45,018d7fad50850da1,3iar,0,0,0,0,0,0
39,20261040,7,1,6,4,0,0,-1,played,39,b2e1cde294f04518,3iar,0,0,0,0,0,0
40,20261041,1,7,2,4,0,0,-1,played,51,e1b10a272dcaf30d,3iar,0,0,0,0,0,0
41,20261042,7,7,8,4,0,0,-1,played,39,f87762b1515fce27,3iar,0,0,0,0,0,0
42,20261043,1,1,0,4,0,0,-1,played,43,d31ed230eb24880d,3iar,0,0,0,0,0,0
43,20261044,7,1,6,4,0,1,-1,played,46,de1f876cca022a31,3iar,0,0,0,0,0,0
44,20261045,7,1,6,4,0,0,-1,played,61,87ded5e112bc03a8,3iar,0,0,0,0,0,0
45,20261046,1,1,0,4,0,0,-1,played,39,0fd253ec5562f442,3iar,0,0,0,0,0,0
46,20261047,1,7,2,4,0,0,-1,played,41,c003b19d84458bd2,3iar,0,0,0,0,0,0
47,20261048,1,1,0,4,0,0,-1,played,53,9e00a22b85e6dce0,3iar,0,0,0,0,0,0
48,20261049,7,7,8,4,0,0,-1,played,43,0528a0268abeba71,3iar,0,0,0,0,0,0
49,20261050,1,7,2,4,0,0,-1,played,55,869e8fe6afc7a3a9,3iar,0,0,0,0,0,0
50,20261051,1,7,2,4,0,0,-1,played,53,95a44244ea69b264,3iar,0,0,0,0,0,0
51,20261052,7,1,6,4,0,2,-1,played,59,611be449d9dd827e,draw,2,2,2,0,2,0
52,20261053,7,1,6,4,0,0,-1,played,49,4494ceff3ae83806,3iar,0,0,0,0,0,0
53,20261054,7,1,6,4,0,0,-1,played,43,538324764fb043f5,3iar,0,0,0,0,0,0
54,20261055,7,1,6,4,0,0,-1,played,43,d607ff339a79486e,3iar,0,0,0,0,0,0
55,20261056,7,7,8,4,0,0,-1,played,35,d191380b03bc2b8a,3iar,0,0,0,0,0,0
56,20261057,1,7,2,4,0,0,-1,played,45,f63b5c87d3970ea6,3iar,0,0,0,0,0,0
57,20261058,1,7,2,4,0,0,-1,played,37,61ebc2e48240febb,3iar,0,0,0,0,0,0
58,20261059,1,7,2,4,0,0,-1,played,49,b244a4d179cb93ca,3iar,0,0,0,0,0,0
59,20261060,1,7,2,4,0,0,-1,played,43,8c8569cdcd15ae07,3iar,0,0,0,0,0,0
60,20261061,7,1,6,4,0,1,-1,played,52,f94c370013792a79,3iar,0,0,0,0,0,0
61,20261062,7,1,6,4,0,0,-1,played,45,feacafe69f5d53e3,3iar,0,0,0,0,0,0
62,20261063,1,7,2,4,0,0,-1,played,57,05dca33288260efa,3iar,0,0,0,0,0,0
63,20261064,1,1,0,4,0,0,-1,played,45,5d87466a307cc0c3,3iar,0,0,0,0,0,0
64,20261065,7,7,8,4,0,1,-1,played,50,1ab11490ebc745ba,3iar,0,0,0,0,0,0
65,20261066,1,7,2,4,0,0,-1,played,53,cf204b733839df27,3iar,0,0,0,0,0,0
66,20261067,1,1,0,4,0,0,-1,played,49,e3fa230a822c04a8,3iar,0,0,0,0,0,0
67,20261068,1,7,2,4,0,0,-1,played,55,eec3b0b272681232,3iar,0,0,0,0,0,0
68,20261069,1,1,0,4,0,0,-1,played,49,bcc11ff99804ffd5,3iar,1,1,0,1,1,0
69,20261070,1,7,2,4,0,1,-1,played,48,89b29eb735b89332,3iar,0,0,0,0,0,0
70,20261071,7,1,6,4,0,2,-1,played,53,e9e128521dc33104,draw,0,0,0,0,0,0
71,20261072,7,7,8,4,0,0,-1,played,45,11cf531ad0e92c34,3iar,0,0,0,0,0,0
72,20261073,7,7,8,4,0,1,-1,played,40,80ab460055b3fb2d,3iar,0,0,0,0,0,0
73,20261074,1,7,2,4,0,0,-1,played,39,65d41d34d8f3062e,3iar,0,0,0,0,0,0
74,20261075,1,7,2,4,0,0,-1,played,58,19044e4cc1263e6a,count,0,0,0,0,0,0
75,20261076,1,1,0,4,0,1,-1,played,46,17260c628e30c473,3iar,0,0,0,0,0,0
76,20261077,7,7,8,4,0,0,-1,played,45,ea12c951cec4318a,3iar,0,0,0,0,0,0
77,20261078,7,7,8,4,0,0,-1,played,41,4e0e5d5e6663643e,3iar,0,0,0,0,0,0
78,20261079,7,1,6,4,0,1,-1,played,46,f5b9617c57d1d936,3iar,0,0,0,0,0,0
79,20261080,1,7,2,4,0,0,-1,played,37,6d6aea481b2a6de5,3iar,0,0,0,0,0,0
80,20261081,1,1,0,4,0,0,-1,played,47,c649e5ff56960637,count,0,0,0,0,0,0
81,20261082,7,7,8,4,0,0,-1,played,43,a71d27e7eef407f4,3iar,0,0,0,0,0,0
82,20261083,1,1,0,4,0,2,-1,played,52,091cda33918d588e,draw,2,1,1,1,1,0
83,20261084,1,7,2,4,0,1,-1,played,54,eccf5c429ea73991,count,0,0,0,0,0,0
84,20261085,7,7,8,4,0,1,-1,played,50,26910e8893134882,3iar,0,0,0,0,0,0
85,20261086,1,7,2,4,0,0,-1,played,39,8e8eaea0f74f23b5,3iar,0,0,0,0,0,0
