game,seed,opening_row,opening_col,opening_grid,opening_cell,starting_player,winner,failure_player,reason,plies,trace_hash,win_type,p0_dfs_failed,p1_dfs_failed,p0_dfs_failed_primary,p0_dfs_failed_narrow,p1_dfs_failed_primary,p1_dfs_failed_narrow
23,20261024,0,3,1,0,0,0,-1,played,35,022a56676f130b27,3iar,0,0,0,0,0,0
24,20261025,3,8,5,2,0,0,-1,played,51,b6cd7e01dd34c270,3iar,0,0,0,0,0,0
25,20261026,3,2,3,2,0,0,-1,played,43,0f3d51380599daf3,3iar,0,0,0,0,0,0
26,20261027,5,2,3,8,0,0,-1,played,59,28d387a746197be4,3iar,0,0,0,0,0,0
27,20261028,0,5,1,2,0,0,-1,played,45,5abc21ee9e7a94be,3iar,0,0,0,0,0,0
28,20261029,2,3,1,6,0,0,-1,played,49,5a806e205338ba11,3iar,0,0,0,0,0,0
29,20261030,0,5,1,2,0,0,-1,played,53,cbfd0556bd9c72b5,count,0,0,0,0,0,0
30,20261031,2,3,1,6,0,0,-1,played,47,e9ba2eabf1602a27,3iar,0,0,0,0,0,0
31,20261032,3,2,3,2,0,0,-1,played,51,6f29877c90b62cb5,3iar,0,0,0,0,0,0
32,20261033,5,6,5,6,0,0,-1,played,43,0a00f694fd2bef98,3iar,0,0,0,0,0,0
33,20261034,0,5,1,2,0,0,-1,played,37,448796bd8f239782,3iar,0,0,0,0,0,0
34,20261035,3,6,5,0,0,0,-1,played,37,4f22c649a646017d,3iar,0,0,0,0,0,0
35,20261036,5,2,3,8,0,2,-1,played,50,53c5acf74b4ac12c,draw,1,0,1,0,0,0
36,20261037,5,0,3,6,0,0,-1,played,43,05c48da4e9e4b983,3iar,0,1,0,0,0,1
37,20261038,5,8,5,8,0,0,-1,played,45,c434a7ed49855a53,3iar,0,0,0,0,0,0
38,20261039,8,5,7,8,0,0,-1,played,47,430762fb66dc20b3,3iar,0,0,0,0,0,0
39,20261040,5,6,5,6,0,2,-1,played,55,9c1d456d4c5fe8ab,draw,0,0,0,0,0,0
40,20261041,3,2,3,2,0,0,-1,played,55,b26305ea7027d0bd,3iar,0,0,0,0,0,0
41,20261042,8,3,7,6,0,0,-1,played,51,d157e3227f9191a3,3iar,0,0,0,0,0,0
42,20261043,0,3,1,0,0,0,-1,played,59,0ac11b2e7a29f6f1,3iar,0,0,0,0,0,0
43,20261044,3,6,5,0,0,0,-1,played,41,28742f5ef3198bfa,3iar,0,0,0,0,0,0
44,20261045,3,6,5,0,0,0,-1,played,51,65a7fb40e6353075,3iar,0,0,0,0,0,0
45,20261046,0,5,1,2,0,0,-1,played,37,7a8e88af891c6b83,3iar,0,0,0,0,0,0
46,20261047,3,0,3,0,0,0,-1,played,39,31ea4728c3c4251e,3iar,0,0,0,0,0,0
