game,seed,opening_row,opening_col,opening_grid,opening_cell,starting_player,winner,failure_player,reason,plies,trace_hash,win_type,p0_dfs_failed,p1_dfs_failed,p0_dfs_failed_primary,p0_dfs_failed_narrow,p1_dfs_failed_primary,p1_dfs_failed_narrow
78,20261079,8,2,6,8,0,0,-1,played,39,2887f028e4a3f2c5,3iar,0,0,0,0,0,0
79,20261080,2,8,2,8,0,0,-1,played,43,0468938880f9c32e,3iar,0,0,0,0,0,0
80,20261081,2,2,0,8,0,2,-1,played,47,2019512112f1482f,draw,0,0,0,0,0,0
81,20261082,8,6,8,6,0,0,-1,played,37,b18ed698b265737f,3iar,0,0,0,0,0,0
82,20261083,0,0,0,0,0,0,-1,played,37,fc87ae64f308d158,3iar,0,0,0,0,0,0
83,20261084,0,6,2,0,0,0,-1,played,33,05126e484cba9d19,3iar,0,0,0,0,0,0
84,20261085,8,8,8,8,0,1,-1,played,53,6471bf6868bfc923,count,0,0,0,0,0,0
85,20261086,2,8,2,8,0,0,-1,played,43,f904648c71aff957,3iar,0,0,0,0,0,0
86,20261087,6,0,6,0,0,0,-1,played,45,97948062d7082de4,3iar,1,1,1,0,1,0
87,20261088,0,8,2,2,0,0,-1,played,49,74826d09dda5a744,3iar,0,1,0,0,1,0
88,20261089,0,6,2,0,0,1,-1,played,46,f40bd9d4d48bf6dd,3iar,0,0,0,0,0,0
89,20261090,2,0,0,6,0,0,-1,played,43,0d2c4bd7491687b0,3iar,0,0,0,0,0,0
90,20261091,8,0,6,6,0,0,-1,played,43,b8712adca2c08cd0,3iar,0,0,0,0,0,0
91,20261092,8,6,8,6,0,0,-1,played,43,89c89db8c5fb8296,3iar,0,0,0,0,0,0
92,20261093,0,6,2,0,0,0,-1,played,37,76cf125d33d61040,3iar,0,0,0,0,0,0
93,20261094,8,2,6,8,0,0,-1,played,47,82b8b507401c4e80,3iar,0,0,0,0,0,0
94,20261095,0,0,0,0,0,1,-1,played,52,2207f12301a0b34b,3iar,0,0,0,0,0,0
95,20261096,6,0,6,0,0,0,-1,played,39,aba7392afd88c45a,3iar,0,0,0,0,0,0
96,20261097,2,8,2,8,0,0,-1,played,47,dd978cc412487054,3iar,0,0,0,0,0,0
97,20261098,8,0,6,6,0,0,-1,played,53,1626546b0ed76610,3iar,0,0,0,0,0,0
98,20261099,0,2,0,2,0,0,-1,played,43,4ab39bed5264899b,3iar,0,0,0,0,0,0
99,20261100,2,6,2,6,0,0,-1,played,53,e5ea2387da3418b5,3iar,0,0,0,0,0,0
