game,seed,opening_row,opening_col,opening_grid,opening_cell,starting_player,winner,failure_player,reason,plies,trace_hash,win_type,p0_dfs_failed,p1_dfs_failed,p0_dfs_failed_primary,p0_dfs_failed_narrow,p1_dfs_failed_primary,p1_dfs_failed_narrow
64,20261065,4,4,4,4,0,0,-1,played,43,0dbdcc1cf59420a5,3iar,0,0,0,0,0,0
65,20261066,4,4,4,4,0,1,-1,played,44,556c1e7ab39565c4,3iar,0,0,0,0,0,0
66,20261067,4,4,4,4,0,0,-1,played,47,dedce2cf47b82b12,3iar,0,0,0,0,0,0
67,20261068,4,4,4,4,0,0,-1,played,49,3884e8cca598cdef,3iar,1,0,0,1,0,0
68,20261069,4,4,4,4,0,1,-1,played,48,df5f26b492acbea8,3iar,0,0,0,0,0,0
69,20261070,4,4,4,4,0,0,-1,played,51,724677998a45628f,3iar,0,0,0,0,0,0
70,20261071,4,4,4,4,0,0,-1,played,39,5259f2bfb6d51120,3iar,0,0,0,0,0,0
71,20261072,4,4,4,4,0,0,-1,played,43,cd7074de373dcd92,3iar,0,0,0,0,0,0
72,20261073,4,4,4,4,0,0,-1,played,37,55b50a9ef8acff4e,3iar,0,0,0,0,0,0
73,20261074,4,4,4,4,0,0,-1,played,43,f093c6a0d5c4f0ca,3iar,0,0,0,0,0,0
74,20261075,4,4,4,4,0,0,-1,played,47,10d77e26002b36ab,3iar,0,0,0,0,0,0
75,20261076,4,4,4,4,0,0,-1,played,43,332f5b23bc533fa4,3iar,0,0,0,0,0,0
76,20261077,4,4,4,4,0,0,-1,played,55,f9251677278cba27,3iar,0,0,0,0,0,0
77,20261078,4,4,4,4,0,1,-1,played,46,1a65660ee0f40e10,3iar,0,0,0,0,0,0
78,20261079,4,4,4,4,0,1,-1,played,44,4293b7e73ca0766c,3iar,0,0,0,0,0,0
79,20261080,4,4,4,4,0,0,-1,played,55,d0ca0e5220b60cbf,3iar,0,1,0,0,1,0
80,20261081,4,4,4,4,0,1,-1,played,42,0088df201bd4fbb2,3iar,0,0,0,0,0,0
81,20261082,4,4,4,4,0,0,-1,played,43,36e12ec5440c1b60,3iar,0,0,0,0,0,0
82,20261083,4,4,4,4,0,0,-1,played,37,e79b240fdd6297a8,3iar,0,0,0,0,0,0
83,20261084,4,4,4,4,0,0,-1,played,49,6707914d340d0f12,3iar,0,0,0,0,0,0
84,20261085,4,4,4,4,0,0,-1,played,39,c37fbf0f1e36b667,3iar,0,0,0,0,0,0
85,20261086,4,4,4,4,0,1,-1,played,50,263289f8f6b20697,3iar,0,0,0,0,0,0
86,20261087,4,4,4,4,0,0,-1,played,53,412ce12a1d043b25,3iar,0,0,0,0,0,0
87,20261088,4,4,4,4,0,0,-1,played,49,5e4ac81b97c4ee89,3iar,0,0,0,0,0,0
88,20261089,4,4,4,4,0,0,-1,played,59,fa96d21fd837b901,3iar,0,0,0,0,0,0
89,20261090,4,4,4,4,0,0,-1,played,48,24b9f34c551beb0a,count,0,0,0,0,0,0
90,20261091,4,4,4,4,0,0,-1,played,41,821f78d4eeae0c46,3iar,0,0,0,0,0,0
91,20261092,4,4,4,4,0,0,-1,played,45,a0bd71488e2afeb0,3iar,0,0,0,0,0,0
92,20261093,4,4,4,4,0,0,-1,played,47,6fc95bbb4293e92f,3iar,0,0,0,0,0,0
93,20261094,4,4,4,4,0,1,-1,played,46,e396d62ca2307f2c,3iar,0,0,0,0,0,0
94,20261095,4,4,4,4,0,0,-1,played,43,92f19172ff9957fc,3iar,0,0,0,0,0,0
95,20261096,4,4,4,4,0,0,-1,played,51,b7f801884679dcba,3iar,0,0,0,0,0,0
96,20261097,4,4,4,4,0,1,-1,played,42,b683c007a5208a40,3iar,0,0,0,0,0,0
97,20261098,4,4,4,4,0,1,-1,played,48,43a7c1d9735b3988,3iar,0,1,0,0,1,0
98,20261099,4,4,4,4,0,0,-1,played,45,852dbe99eb19f376,3iar,0,0,0,0,0,0
99,20261100,4,4,4,4,0,0,-1,played,49,0a68faad71749efc,3iar,0,0,0,0,0,0
