game,seed,opening_row,opening_col,opening_grid,opening_cell,starting_player,winner,failure_player,reason,plies,trace_hash,win_type,p0_dfs_failed,p1_dfs_failed,p0_dfs_failed_primary,p0_dfs_failed_narrow,p1_dfs_failed_primary,p1_dfs_failed_narrow
62,20261063,4,4,4,4,0,0,-1,played,43,4ba6a20578ca0ccc,3iar,0,0,0,0,0,0
63,20261064,4,4,4,4,0,0,-1,played,39,a17febac2b07f2ac,3iar,0,0,0,0,0,0
64,20261065,4,4,4,4,0,0,-1,played,43,b9335112e087fb88,3iar,0,0,0,0,0,0
65,20261066,4,4,4,4,0,0,-1,played,51,4f3f0b16f4edf5ea,3iar,0,0,0,0,0,0
66,20261067,4,4,4,4,0,1,-1,played,50,0226833aa32b9053,3iar,0,0,0,0,0,0
67,20261068,4,4,4,4,0,1,-1,played,40,ac55e2a647fc2093,3iar,0,0,0,0,0,0
68,20261069,4,4,4,4,0,0,-1,played,43,a79fbca105657313,3iar,0,0,0,0,0,0
69,20261070,4,4,4,4,0,0,-1,played,51,d4abca0af6952ca6,3iar,1,2,1,0,2,0
70,20261071,4,4,4,4,0,0,-1,played,41,59794b35374a7a6c,3iar,0,0,0,0,0,0
71,20261072,4,4,4,4,0,0,-1,played,47,b2b19962c172e105,3iar,0,0,0,0,0,0
72,20261073,4,4,4,4,0,0,-1,played,55,8520d361e1fcd3e2,3iar,0,0,0,0,0,0
73,20261074,4,4,4,4,0,0,-1,played,37,3574de0d10e41485,3iar,0,0,0,0,0,0
74,20261075,4,4,4,4,0,0,-1,played,41,78fad2f000ace8c0,3iar,0,0,0,0,0,0
75,20261076,4,4,4,4,0,0,-1,played,41,65b3670388ded2f9,3iar,0,0,0,0,0,0
76,20261077,4,4,4,4,0,0,-1,played,53,1144063fff7a6c83,3iar,0,0,0,0,0,0
77,20261078,4,4,4,4,0,0,-1,played,50,cc4b538997e3508b,count,0,1,0,0,1,0
78,20261079,4,4,4,4,0,0,-1,played,35,a78aeb1a4a3f1b8c,3iar,0,0,0,0,0,0
79,20261080,4,4,4,4,0,0,-1,played,43,de2c6cc2c1dbbf31,3iar,0,0,0,0,0,0
80,20261081,4,4,4,4,0,0,-1,played,43,4009ece5c4021957,3iar,0,1,0,0,0,1
81,20261082,4,4,4,4,0,0,-1,played,47,e1d420247a42f8db,3iar,0,0,0,0,0,0
82,20261083,4,4,4,4,0,0,-1,played,41,0f8e6908b05a69dc,3iar,0,0,0,0,0,0
83,20261084,4,4,4,4,0,0,-1,played,53,1ee42e0d65a9542d,3iar,0,0,0,0,0,0
84,20261085,4,4,4,4,0,0,-1,played,39,a38f54b47b6f04cd,3iar,0,0,0,0,0,0
85,20261086,4,4,4,4,0,2,-1,played,61,0bd4f6daeb7dad00,draw,1,1,0,1,1,0
86,20261087,4,4,4,4,0,0,-1,played,45,64cb4606898698ac,3iar,0,0,0,0,0,0
87,20261088,4,4,4,4,0,0,-1,played,47,39f05e43f840c5ed,3iar,0,0,0,0,0,0
88,20261089,4,4,4,4,0,0,-1,played,39,f3984d99cf602bad,3iar,0,0,0,0,0,0
89,20261090,4,4,4,4,0,1,-1,played,44,c6e2a7c6a1410f93,3iar,0,0,0,0,0,0
90,20261091,4,4,4,4,0,0,-1,played,49,c122f5ddf05e4e0d,3iar,0,0,0,0,0,0
91,20261092,4,4,4,4,0,0,-1,played,50,91ff1a0cf9e2b89c,count,0,0,0,0,0,0
92,20261093,4,4,4,4,0,1,-1,played,48,863a331332593004,3iar,0,0,0,0,0,0
93,20261094,4,4,4,4,0,0,-1,played,53,272427cce3f327d7,3iar,0,0,0,0,0,0
94,20261095,4,4,4,4,0,0,-1,played,49,5f53390888e61167,3iar,0,0,0,0,0,0
95,20261096,4,4,4,4,0,0,-1,played,51,3a0109350518a542,3iar,0,0,0,0,0,0
96,20261097,4,4,4,4,0,0,-1,played,57,b30e827775f79ffe,3iar,0,0,0,0,0,0
97,20261098,4,4,4,4,0,0,-1,played,41,6cfaf8b7ceb328d6,3iar,0,1,0,0,1,0
98,20261099,4,4,4,4,0,1,-1,played,62,88b03d440b6921bb,3iar,0,0,0,0,0,0
99,20261100,4,4,4,4,0,1,-1,played,52,0d7be53adebcbbbd,count,0,0,0,0,0,0
