worker,game,seed,opening_row,opening_col,opening_grid,opening_cell,starting_player,winner,failure_player,reason,plies,trace_hash,win_type,p0_dfs_failed,p1_dfs_failed,p0_dfs_failed_primary,p0_dfs_failed_narrow,p1_dfs_failed_primary,p1_dfs_failed_narrow,p0_stats_present,p0_search_us,p0_positions_scored,p0_cache_hits,p1_stats_present,p1_search_us,p1_positions_scored,p1_cache_hits
2,22,21261023,4,4,4,4,0,1,-1,played,34,3261fa9a0a03cf20,3iar,0,0,0,0,0,0,1,1379521,2282811,116222,0,0,0,0
2,23,21261024,1,0,0,3,1,2,-1,played,52,b7b81c06fdb68ac2,draw,0,0,0,0,0,0,1,3150418,3797207,1210500,0,0,0,0
2,24,21261025,4,4,4,4,0,0,-1,played,47,7d4eb2f9b18fb2b3,3iar,0,0,0,0,0,0,1,1710895,2672319,125752,0,0,0,0
3,0,22261001,4,4,4,4,0,0,-1,played,51,92004d77a90c8533,3iar,0,0,0,0,0,0,1,1803123,2999594,171251,0,0,0,0
3,1,22261002,1,0,0,3,1,0,-1,played,50,9ce5bd5b00e236b9,3iar,0,0,0,0,0,0,1,2700913,4107685,402724,0,0,0,0
3,2,22261003,4,4,4,4,0,0,-1,played,53,c95eee071568f7be,3iar,0,0,0,0,0,0,1,1920922,2829427,235294,0,0,0,0
3,3,22261004,1,0,0,3,1,0,-1,played,50,d61c8a802dc9b4da,3iar,0,0,0,0,0,0,1,2791463,4183163,397666,0,0,0,0
3,4,22261005,4,4,4,4,0,0,-1,played,55,b3ad3d0c7e42c43a,3iar,0,0,0,0,0,0,1,2071245,3455892,193135,0,0,0,0
3,5,22261006,1,0,0,3,1,0,-1,played,44,867a1a63650c5d7c,3iar,0,0,0,0,0,0,1,2433879,3631487,147989,0,0,0,0
3,6,22261007,4,4,4,4,0,0,-1,played,39,544ecf1dccc0cc24,3iar,0,0,0,0,0,0,1,1541655,2566999,119651,0,0,0,0
3,7,22261008,1,0,0,3,1,0,-1,played,42,ea0f88e162ded08b,3iar,0,0,0,0,0,0,1,2614317,3948397,269665,0,0,0,0
3,8,22261009,4,4,4,4,0,0,-1,played,55,23d07dea0d7872de,3iar,0,0,0,0,0,0,1,2022786,3268590,272223,0,0,0,0
3,9,22261010,1,0,0,3,1,0,-1,played,42,4a7600b989d95baf,3iar,0,0,0,0,0,0,1,2432577,3534072,175909,0,0,0,0
3,10,22261011,4,4,4,4,0,0,-1,played,37,85600e32a1dfe7d5,3iar,0,0,0,0,0,0,1,1533265,2483057,142411,0,0,0,0
3,11,22261012,1,0,0,3,1,1,-1,played,49,55d731ac520bfa9f,3iar,0,0,0,0,0,0,1,2711611,4118058,200892,0,0,0,0
3,12,22261013,4,4,4,4,0,0,-1,played,43,2bc9ff2867af41c5,3iar,0,0,0,0,0,0,1,1788159,3000970,284721,0,0,0,0
3,13,22261014,1,0,0,3,1,0,-1,played,42,970a9b89570f4df6,3iar,0,0,0,0,0,0,1,2520674,3766727,244918,0,0,0,0
3,14,22261015,4,4,4,4,0,0,-1,played,51,4a5f8be1643474e3,3iar,0,0,0,0,0,0,1,2013281,3283894,245067,0,0,0,0
3,15,22261016,1,0,0,3,1,0,-1,played,52,a240538158c277bc,3iar,0,0,0,0,0,0,1,2611357,3839226,300761,0,0,0,0
3,16,22261017,4,4,4,4,0,0,-1,played,49,183d80d2196658d0,3iar,0,0,0,0,0,0,1,1985006,3219269,335147,0,0,0,0
3,17,22261018,1,0,0,3,1,0,-1,played,58,1c7ce16b8a22c765,3iar,0,0,0,0,0,0,1,2768357,3950300,486730,0,0,0,0
3,18,22261019,4,4,4,4,0,1,-1,played,50,85023d581fb22eaf,3iar,0,0,0,0,0,0,1,1911926,3160770,182807,0,0,0,0
3,19,22261020,1,0,0,3,1,2,-1,played,54,78d9afc798926436,draw,0,0,0,0,0,0,1,3240414,4279243,1121721,0,0,0,0
3,20,22261021,4,4,4,4,0,0,-1,played,47,6eec99b74b952ea6,3iar,0,0,0,0,0,0,1,1980844,3231553,175400,0,0,0,0
3,21,22261022,1,0,0,3,1,0,-1,played,48,1f0191969bafead1,3iar,0,0,0,0,0,0,1,2521193,3660015,241289,0,0,0,0
3,22,22261023,4,4,4,4,0,0,-1,played,41,368bfe86f18efb22,3iar,0,0,0,0,0,0,1,1620591,2765633,114950,0,0,0,0
3,23,22261024,1,0,0,3,1,0,-1,played,44,bc78a2c7235710e9,3iar,0,0,0,0,0,0,1,2406622,3448247,341248,0,0,0,0
3,24,22261025,4,4,4,4,0,0,-1,played,37,613fb6f3e74697ba,3iar,0,0,0,0,0,0,1,1441267,2233170,156240,0,0,0,0
4,0,23261001,4,4,4,4,0,0,-1,played,41,0d541e3959648203,3iar,0,0,0,0,0,0,1,1624379,2817943,224712,0,0,0,0
4,1,23261002,1,0,0,3,1,1,-1,played,47,f7d9db92d453b040,3iar,0,0,0,0,0,0,1,2701148,4038114,322100,0,0,0,0
4,2,23261003,4,4,4,4,0,0,-1,played,35,2a9519942fc1c5bf,3iar,0,0,0,0,0,0,1,1440306,2184560,184177,0,0,0,0
4,3,23261004,1,0,0,3,1,0,-1,played,44,09eab180b3bcf5ff,3iar,0,0,0,0,0,0,1,2521279,3764406,341482,0,0,0,0
4,4,23261005,4,4,4,4,0,0,-1,played,43,7b81031c89eb998b,3iar,0,0,0,0,0,0,1,1710573,2741028,234631,0,0,0,0
4,5,23261006,1,0,0,3,1,0,-1,played,38,abeeb75d9cce7d30,3iar,0,0,0,0,0,0,1,2340772,3483985,192160,0,0,0,0
4,6,23261007,4,4,4,4,0,0,-1,played,51,e5085f046d52c686,count,0,0,0,0,0,0,1,1809270,3054363,250739,0,0,0,0
