worker,game,seed,opening_row,opening_col,opening_grid,opening_cell,starting_player,winner,failure_player,reason,plies,trace_hash,win_type,p0_dfs_failed,p1_dfs_failed,p0_dfs_failed_primary,p0_dfs_failed_narrow,p1_dfs_failed_primary,p1_dfs_failed_narrow,p0_stats_present,p0_search_us,p0_positions_scored,p0_cache_hits,p0_cert_leaf_hits,p0_cert_internal_hits,p1_stats_present,p1_search_us,p1_positions_scored,p1_cache_hits,p1_cert_leaf_hits,p1_cert_internal_hits
3,11,22261012,1,0,0,3,1,1,-1,played,45,90fa5041815546a9,count,0,0,0,0,0,0,1,2430713,4620188,385989,26436,6345,0,0,0,0,0,0
3,12,22261013,4,4,4,4,0,0,-1,played,51,d2c7d756d8b4ef6c,3iar,0,0,0,0,0,0,1,1900591,4528634,275530,79816,6883,0,0,0,0,0,0
3,13,22261014,1,0,0,3,1,0,-1,played,54,7dcf62e3761c80ec,3iar,0,0,0,0,0,0,1,2732771,5376374,354707,66393,2136,0,0,0,0,0,0
3,14,22261015,4,4,4,4,0,0,-1,played,46,9e51d8fb2560d909,count,0,0,0,0,0,0,1,1620457,3840195,231887,25232,750,0,0,0,0,0,0
3,15,22261016,1,0,0,3,1,1,-1,played,45,3fc9b69e4112319d,3iar,0,0,0,0,0,0,1,2700481,5335855,391228,43413,17768,0,0,0,0,0,0
3,16,22261017,4,4,4,4,0,0,-1,played,49,5dd660a4849ae86f,3iar,0,0,0,0,0,0,1,1808986,4186142,375519,45836,9690,0,0,0,0,0,0
3,17,22261018,1,0,0,3,1,0,-1,played,44,e86efff3034c7119,3iar,0,0,0,0,0,0,1,2477689,4811194,402557,57595,1183,0,0,0,0,0,0
3,18,22261019,4,4,4,4,0,0,-1,played,51,2b3d37ca8bd03991,3iar,0,0,0,0,0,0,1,1987349,4454496,356770,20549,8610,0,0,0,0,0,0
3,19,22261020,1,0,0,3,1,0,-1,played,55,423f6ccf2970c9f3,count,0,0,0,0,0,0,1,2978330,5843935,879219,102151,12078,0,0,0,0,0,0
3,20,22261021,4,4,4,4,0,0,-1,played,45,7045e3eba641ec22,3iar,0,0,0,0,0,0,1,1623308,3871684,262792,71002,7730,0,0,0,0,0,0
3,21,22261022,1,0,0,3,1,0,-1,played,46,e1493aecda7684d9,3iar,0,0,0,0,0,0,1,2525224,4929030,209559,32404,376,0,0,0,0,0,0
3,22,22261023,4,4,4,4,0,0,-1,played,41,368bfe86f18efb22,3iar,0,0,0,0,0,0,1,1620435,3584249,160910,52066,483,0,0,0,0,0,0
3,23,22261024,1,0,0,3,1,0,-1,played,50,c337fff07bd7d2b2,count,0,0,0,0,0,0,1,2539335,4659650,581972,246560,28942,0,0,0,0,0,0
3,24,22261025,4,4,4,4,0,0,-1,played,39,c57cf5739c237b83,3iar,0,0,0,0,0,0,1,1621617,3475570,189947,86862,5849,0,0,0,0,0,0
4,0,23261001,4,4,4,4,0,2,-1,played,47,596a2e3ee3d228e6,draw,0,0,0,0,0,0,1,2070169,4133006,1040877,25548,107017,0,0,0,0,0,0
4,1,23261002,1,0,0,3,1,1,-1,played,47,f7d9db92d453b040,3iar,0,0,0,0,0,0,1,2700871,5408653,445173,12050,16592,0,0,0,0,0,0
4,2,23261003,4,4,4,4,0,0,-1,played,47,3b93d3699904b31e,3iar,0,0,0,0,0,0,1,1718492,3862358,210354,105953,6447,0,0,0,0,0,0
4,3,23261004,1,0,0,3,1,0,-1,played,48,4615704bcee3a12a,3iar,0,0,0,0,0,0,1,2791657,5560639,390967,68779,6141,0,0,0,0,0,0
4,4,23261005,4,4,4,4,0,1,-1,played,44,123dcdee8eeeecb2,3iar,0,0,0,0,0,0,1,1780746,3893091,247877,31470,11018,0,0,0,0,0,0
4,5,23261006,1,0,0,3,1,0,-1,played,40,3f7ee480de227868,3iar,0,0,0,0,0,0,1,2344883,4716345,203126,7191,544,0,0,0,0,0,0
4,6,23261007,4,4,4,4,0,0,-1,played,60,19624098e794ef70,count,0,0,0,0,0,0,1,2228679,5081218,535244,40423,12067,0,0,0,0,0,0
4,7,23261008,1,0,0,3,1,0,-1,played,44,56f7c8e0c8f7c76e,3iar,0,0,0,0,0,0,1,2520358,5239819,301939,34223,5002,0,0,0,0,0,0
4,8,23261009,4,4,4,4,0,1,-1,played,44,f2eae47e586d7b76,3iar,0,0,0,0,0,0,1,1711023,3722451,384905,74251,3573,0,0,0,0,0,0
4,9,23261010,1,0,0,3,1,1,-1,played,39,35c099cb4f98b40a,3iar,0,0,0,0,0,0,1,2360231,4813310,239912,46471,2240,0,0,0,0,0,0
4,10,23261011,4,4,4,4,0,0,-1,played,47,0a3e79d9bd390305,3iar,0,0,0,0,0,0,1,1745163,3900888,323263,33727,2482,0,0,0,0,0,0
4,11,23261012,1,0,0,3,1,0,-1,played,44,8a51274a350dd86d,3iar,0,0,0,0,0,0,1,2614509,5213249,365978,104112,6107,0,0,0,0,0,0
4,12,23261013,4,4,4,4,0,1,-1,played,52,b90ef86d5a695d4b,3iar,0,0,0,0,0,0,1,1983437,4444726,326810,29032,9337,0,0,0,0,0,0
4,13,23261014,1,0,0,3,1,0,-1,played,52,3189e26cb0d55368,3iar,0,0,0,0,0,0,1,2611105,5183441,301033,199258,16214,0,0,0,0,0,0
4,14,23261015,4,4,4,4,0,0,-1,played,49,9d90195a002366c4,3iar,0,0,0,0,0,0,1,1646612,3774690,351095,98631,11956,0,0,0,0,0,0
4,15,23261016,1,0,0,3,1,0,-1,played,34,91e9e8656bf25b06,3iar,0,0,0,0,0,0,1,2174950,4315870,195024,42856,2690,0,0,0,0,0,0
4,16,23261017,4,4,4,4,0,0,-1,played,57,ff9a471d02272ac7,3iar,0,0,0,0,0,0,1,2074240,4737069,355594,133853,14055,0,0,0,0,0,0
4,17,23261018,1,0,0,3,1,0,-1,played,46,94dbc5f77b04dd2f,3iar,0,0,0,0,0,0,1,2660659,5312628,326407,119193,41288,0,0,0,0,0,0
4,18,23261019,4,4,4,4,0,0,-1,played,43,0a50b59169e75381,3iar,0,0,0,0,0,0,1,1632520,3555562,269287,61410,4092,0,0,0,0,0,0
4,19,23261020,1,0,0,3,1,1,-1,played,49,7838ea1807650434,3iar,0,0,0,0,0,0,1,2795617,5660602,440004,29216,11890,0,0,0,0,0,0
4,20,23261021,4,4,4,4,0,1,-1,played,50,6c3ca15e84308349,3iar,0,0,0,0,0,0,1,1928546,4397420,415783,97458,33845,0,0,0,0,0,0
4,21,23261022,1,0,0,3,1,1,-1,played,41,fdeb60226fbc1094,3iar,0,0,0,0,0,0,1,2609507,5276863,369947,36987,11952,0,0,0,0,0,0
4,22,23261023,4,4,4,4,0,1,-1,played,48,501f16e73b03c24b,3iar,0,0,0,0,0,0,1,1901151,3810503,409690,66525,10279,0,0,0,0,0,0
4,23,23261024,1,0,0,3,1,0,-1,played,46,5e3882231ab4d67a,3iar,0,0,0,0,0,0,1,2529587,5009214,375116,29148,4764,0,0,0,0,0,0
4,24,23261025,4,4,4,4,0,0,-1,played,51,763d49c9a9f7719e,3iar,0,0,0,0,0,0,1,1981296,4514891,520735,133420,7631,0,0,0,0,0,0
